,bo_srm_xsd
464,0.488281
465,0.390625
466,0.390625
467,0.390625
468,0.390625
469,0.292969
470,0.371094
471,-1.0546879999999998
472,-1.0546879999999998
473,-1.0546879999999998
474,-0.488281
475,0.175781
476,0.585938
477,0.859375
478,0.820313
479,0.839844
480,0.839844
481,0.78125
482,0.742188
483,0.6835939999999999
484,0.6835939999999999
485,0.488281
486,0.6054689999999999
487,0.8007810000000001
488,0.820313
489,0.957031
490,1.171875
491,1.152344
492,1.425781
493,1.4453129999999998
494,1.4453129999999998
495,1.269531
496,1.269531
497,0.976563
498,0.976563
499,0.78125
500,0.78125
501,0.78125
502,0.78125
503,0.78125
504,0.78125
505,0.78125
506,0.957031
507,1.171875
508,1.015625
509,0.878906
510,0.976563
511,1.074219
512,1.0546879999999998
513,1.171875
514,1.09375
515,0.898438
516,0.898438
517,0.78125
518,0.957031
519,0.78125
520,0.78125
521,0.703125
522,0.5664060000000001
523,0.6835939999999999
524,0.6835939999999999
525,0.6835939999999999
526,0.6835939999999999
527,0.6835939999999999
528,0.507813
529,0.488281
530,0.46875
531,0.46875
532,0.585938
533,0.5664060000000001
534,0.5664060000000001
535,0.46875
536,0.585938
537,0.585938
538,0.585938
539,0.585938
540,0.585938
541,0.585938
542,0.585938
543,0.585938
544,0.6054689999999999
545,0.6054689999999999
546,0.6054689999999999
547,0.6054689999999999
548,0.820313
549,0.7617189999999999
550,0.8007810000000001
551,0.625
552,0.507813
553,0.6054689999999999
554,0.664063
555,0.664063
556,0.6054689999999999
557,0.6054689999999999
558,0.6835939999999999
559,0.6054689999999999
560,0.6054689999999999
561,0.6054689999999999
562,0.585938
563,0.625
564,0.625
565,0.6445310000000001
566,0.6445310000000001
567,0.625
568,0.625
569,0.546875
570,0.6054689999999999
571,0.46875
572,0.46875
573,0.292969
574,0.410156
575,0.410156
576,0.410156
577,0.410156
578,0.410156
579,0.410156
580,0.410156
581,0.371094
582,0.449219
583,0.429688
584,0.292969
585,0.292969
586,0.15625
587,0.117188
588,0.136719
589,0.117188
590,0.117188
591,0.117188
592,0.234375
593,0.449219
594,0.5664060000000001
595,0.5664060000000001
596,0.5664060000000001
597,0.5664060000000001
598,0.5664060000000001
599,0.5664060000000001
600,0.449219
601,0.3125
602,0.449219
603,0.292969
604,0.292969
605,0.332031
606,0.390625
607,0.410156
608,0.6054689999999999
609,0.488281
610,0.429688
611,0.429688
612,0.6054689999999999
613,0.6054689999999999
614,0.6054689999999999
615,0.6054689999999999
616,0.429688
617,0.429688
618,0.5273439999999999
619,0.507813
620,0.5273439999999999
621,0.507813
622,0.5273439999999999
623,0.3125
624,0.6054689999999999
625,0.6835939999999999
626,0.878906
627,0.878906
628,0.878906
629,0.7226560000000001
630,0.7226560000000001
631,0.625
632,0.6054689999999999
633,0.625
634,0.742188
635,0.742188
636,0.7617189999999999
637,0.7617189999999999
638,0.742188
639,0.742188
640,0.898438
641,0.9375
642,1.035156
643,1.035156
644,0.839844
645,0.820313
646,0.839844
647,0.6445310000000001
648,0.6445310000000001
649,0.5664060000000001
650,0.371094
651,0.195313
652,0.371094
653,0.488281
654,0.371094
655,0.371094
656,0.546875
657,0.429688
658,0.429688
659,0.449219
660,0.429688
661,0.429688
662,0.429688
663,0.429688
664,0.429688
665,0.390625
666,0.234375
667,0.234375
668,0.234375
669,0.214844
670,0.332031
671,0.507813
672,0.332031
673,0.3125
674,0.15625
675,0.195313
676,0.195313
677,0.351563
678,0.410156
679,0.429688
680,0.429688
681,0.429688
682,0.292969
683,0.449219
684,0.371094
685,0.5664060000000001
686,0.292969
687,0.273438
688,0.273438
689,0.273438
690,0.136719
691,0.351563
692,0.292969
693,0.292969
694,0.292969
695,0.292969
696,0.371094
697,0.46875
698,0.585938
699,0.585938
700,0.7617189999999999
701,0.5664060000000001
702,0.742188
703,0.546875
704,0.6835939999999999
705,0.742188
706,0.742188
707,0.546875
708,0.546875
709,0.371094
710,0.371094
711,0.371094
712,0.546875
713,0.6835939999999999
714,0.742188
715,0.8007810000000001
716,1.015625
717,1.015625
718,0.859375
719,0.859375
720,0.6054689999999999
721,0.664063
722,0.6054689999999999
723,0.6054689999999999
724,0.6054689999999999
725,0.6054689999999999
726,0.6054689999999999
727,0.6054689999999999
728,0.625
729,0.625
730,0.8007810000000001
731,0.6835939999999999
732,0.703125
733,0.6835939999999999
734,0.6835939999999999
735,0.6835939999999999
736,0.703125
737,0.507813
738,0.507813
739,0.6054689999999999
740,0.6054689999999999
741,0.6054689999999999
742,0.742188
743,0.6054689999999999
744,0.78125
745,0.6445310000000001
746,0.7617189999999999
747,0.6835939999999999
748,0.7226560000000001
749,0.6054689999999999
750,0.6054689999999999
751,0.6054689999999999
752,0.6054689999999999
753,0.703125
754,0.703125
755,0.703125
756,0.5273439999999999
757,0.6054689999999999
758,0.6054689999999999
759,0.429688
760,0.449219
761,0.351563
762,0.351563
763,0.351563
764,0.351563
765,0.546875
766,0.585938
767,0.5664060000000001
768,0.6445310000000001
769,0.46875
770,0.449219
771,0.46875
772,0.46875
773,0.46875
774,0.546875
775,0.46875
